Product Name,Venue,Electronic,Open Outcry,Clearing,Exchange or
3.5% Fuel Oil (Platts) Barges FOB Rdam Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,FO ,FO ,NYMEX
3.5% Fuel Oil (Platts) Barges FOB Rdam Crack Spread (1000mt) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,BOB ,BOB ,NYMEX
3.5% Fuel Oil Barges FOB Rdam vs. 3.5% FOB MED Spread (Platts) Swap Futures ,"CME ClearPort Clearing, New York Trading Floor ",  ,FK ,FK ,NYMEX
3.5% Fuel Oil Rdam vs. 3.5% FOB MED Spread (Platts) BALMO Swap Futures ,"CME ClearPort Clearing, New York Trading Floor ",  ,63,63,NYMEX
AECO NIT Daily Natural Gas Futures ,CME ClearPort Clearing ,  ,ZP ,ZP ,NYMEX
PJM AEP Dayton Hub Peak Calendar-Month LMP Swap Option ,"CME ClearPort, Open Outcry (New York) ",  ,OT ,OT ,NYMEX
PJM AEP Dayton Hub Calendar-Day Peak LMP Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VD ,VD ,NYMEX
PJM AEP Dayton Hub Off-Peak LMP Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VP ,VP ,NYMEX
PJM AEP Dayton Hub Peak Calendar-Month LMP Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VM ,VM ,NYMEX
Alberta Natural Gas Pipe Options ,"CME ClearPort Trading, Open Outcry (New York) ",  ,Pl ,Pl ,NYMEX
Alberta Natural Gas Swing Swap (Platts Gas Daily) Futures ,"CME ClearPort Trading, Open Outcry (New York) ",  ,K5 ,K5 ,NYMEX
Algonquin City-gates Natural Gas Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,B4 ,B4 ,NYMEX
Algonquin City-Gates Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,N7 ,N7 ,NYMEX
Algonquin City-Gates Natural Gas Swing Swap (Platts Gas Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,C8 ,C8 ,NYMEX
Annual NOX Emissions Allowance Vintage 2009 Futures ,"CME Globex, CME ClearPort (New York) ",  ,WW ,WW ,NYMEX
Annual NOX Emissions Allowance Vintage 2010 Futures ,"CME Globex, CME ClearPort (New York) ",  ,YP ,YP ,NYMEX
Annual NOX Emissions Allowance Vintage 2011 Futures ,"CME Globex, CME ClearPort (New York) ",  ,YQ ,YQ ,NYMEX
Annual NOX Emissions Allowance Vintage 2012 Futures ,"CME Globex, CME ClearPort (New York) ",  ,YR ,YR ,NYMEX
"ANR, Louisiana Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ","CME ClearPort, Open Outcry (New York) ",  ,M6 ,M6 ,NYMEX
"ANR, Louisiana Natural Gas Swing Swap (Platts Gas Daily) Futures ","CME ClearPort, Open Outcry (New York) ",  ,K6 ,K6 ,NYMEX
ANR Louisiana Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,ND ,ND ,NYMEX
ANR OK Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,NE ,NE ,NYMEX
ANR Okahoma Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,IQ ,IQ ,NYMEX
ANR OK Natural Gas Swing Swap (Platts Gas Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,SQ ,SQ ,NYMEX
Argus Biodiesel RME FOB Rdam Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,1A ,1A ,NYMEX
Argus Gasoline Eurobob Oxy Barges NWE Crack Spread (1000mt) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,AES ,AES ,NYMEX
Argus Gasoline Eurobob Oxy Barges NWE Crack Spread (1000mt) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,EOB ,EOB ,NYMEX
Argus LLS vs. WTI (Argus) Trade Month Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,E5 ,E5 ,NYMEX
Argus Propane Far East Index Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7E ,7E ,NYMEX
Argus Propane Far East Index BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,22,22,NYMEX
Argus Propane Far East Index vs. European Propane CIF ARA (Argus) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,91,91,NYMEX
Argus Propane (Saudi Aramco) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,9N ,9N ,NYMEX
"Argus Sour Crude Index (""ASCI"") Calendar Month Swap Futures ","CME ClearPort, Open Outcry (New York) ",  ,37,37,NYMEX
"Argus Sour Crude Index (""ASCI"") Financial Futures ","CME Globex, CME ClearPort, Open Outcry (New York) ",  ,A0 ,A0 ,NYMEX
"Argus Sour Crude Index (""ASCI"") Trade Month Swap Futures ","CME ClearPort, Open Outcry (New York) ",  ,29,29,NYMEX
"Argus Sour Crude Index (""ASCI"") vs. WTI Diff Spread Calendar Month Swap Futures ","CME ClearPort, Open Outcry (New York) ",  ,38,38,NYMEX
"Argus Sour Crude Index (""ASCI"") vs. WTI Diff Spread Trade Month Swap Futures ","CME ClearPort, Open Outcry (New York) ",  ,36,36,NYMEX
Argus WTI Formula Basis Calendar Month Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,39,39,NYMEX
Brent CFD (Platts) vs. Brent Second Month (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,6W ,6W ,NYMEX
Brent CFD (Platts) vs. Brent Front Month (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,1C ,1C ,NYMEX
Brent CFD (Platts) vs. Brent Third Month (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,59,59,NYMEX
Brent Crude Oil Penultimate Financial Futures ,"CME Globex, CME ClearPort Clearing ",  ,BB ,BB ,NYMEX
Brent-Dubai (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,DB ,DB ,NYMEX
Brent (ICE) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CY ,CY ,NYMEX
Brent Crude Oil BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,J9 ,J9 ,NYMEX
Brent Crude Oil 12 Month CSO ,"CME ClearPort, Open Outcry (New York) ",  ,AZ ,AZ ,NYMEX
Brent Crude Oil Calendar Spread Financially Settled Option Contract 12 Mon ,"CME ClearPort, Open Outcry (New York) ",  ,9Y ,9Y ,NYMEX
Brent Crude Oil 1 Month CSO ,"CME ClearPort, Open Outcry (New York) ",  ,AA ,AA ,NYMEX
Brent Crude Oil Cal Spread Financially Settled Option Contract 1 Mon ,"CME ClearPort, Open Outcry (New York) ",  ,9C ,9C ,NYMEX
Brent Crude Oil 2 Month CSO ,"CME ClearPort, Open Outcry (New York) ",  ,AB ,AB ,NYMEX
Brent Crude Oil Calendar Spread Financially Settled Option Contract 2 Mon ,"CME ClearPort, Open Outcry (New York) ",  ,9B ,9B ,NYMEX
Brent Crude Oil 3 Month CSO ,"CME ClearPort, Open Outcry (New York) ",  ,AC ,AC ,NYMEX
Brent Crude Oil Calendar Spread Financially Settled Option Contract 3 Mon ,"CME ClearPort, Open Outcry (New York) ",  ,9D ,9D ,NYMEX
Brent Crude Oil 6 Month CSO ,"CME ClearPort, Open Outcry (New York) ",  ,AM ,AM ,NYMEX
Brent Crude Oil Calendar Spread Financially Settled Option Contract 6 Mon ,"CME ClearPort, Open Outcry (New York) ",  ,9L ,9L ,NYMEX
Brent Crude Oil Average Price Option ,"CME ClearPort, Open Outcry (New York) ",  ,BA ,BA ,NYMEX
Brent Look-Alike Crude Oil Option ,"CME ClearPort, Open Outcry (New York) ",  ,BE ,BE ,NYMEX
Brent Crude Oil Last Day Financial Futures ,"CME Globex, CME ClearPort Clearing, Open Outcry (New York) ",  ,BZ ,BZ ,NYMEX
Brent Crude Oil Option ,"CME ClearPort, Open Outcry (New York) ",  ,OS ,OS ,NYMEX
Brent - Financial ,"CME ClearPort, Open Outcry (New York) ",  ,BB ,BB ,NYMEX
Brent (ICE) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CY ,CY ,NYMEX
CAISO NP15 EZ GEN 5 MW Off-Peak Calendar Day Day-Ahead LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,2Z ,2Z ,NYMEX
CAISO NP15 EZ Gen Hub 5 MW Off-Peak Calendar-Day Real-Time LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,2J ,2J ,NYMEX
CAISO NP15 EZ Gen Hub 5 MW Off-Peak Calendar-Month Day-Ahead LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,3X ,3X ,NYMEX
CAISO NP15EZGenHub 5 MW Off-Peak Calendar-Month Real-Time LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,2D ,2D ,NYMEX
CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Day Day-Ahead LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,3Z ,3Z ,NYMEX
CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Day Real-Time LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,2F ,2F ,NYMEX
CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Month Day-Ahead LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,4X ,4X ,NYMEX
CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Month Real-Time LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,1Y ,1Y ,NYMEX
CAISO SP15 EZ GEN 5 MW Off-Peak Calendar Day Day-Ahead LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,4Z ,4Z ,NYMEX
CAISO SP15 EZ Gen Hub 5 MW Off-Peak Calendar-Day Real-Time LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,2K ,2K ,NYMEX
CAISO SP15 EZ Gen Hub 5 MW Off-Peak Calendar-Month Day-Ahead LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,5X ,5X ,NYMEX
CAISO SP15 EZ GenHub 5 MW Off-Peak Calendar-Month Real-time LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,2E ,2E ,NYMEX
CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Day Day-Ahead LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,9Z ,9Z ,NYMEX
CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Day Real-Time LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,2H ,2H ,NYMEX
CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Month Day-Ahead LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,9X ,9X ,NYMEX
CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Month Real-Time LMP Swap Futures ,CME ClearPort and Open Outcry (New York) ,  ,1Z ,1Z ,NYMEX
Capesize Timecharter Average (Baltic) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,M0 ,M0 ,NYMEX
Capesize Timecharter Average (Baltic) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CSU ,CSU ,NYMEX
CBOT Denatured Fuel Ethanol Futures,CME Globex ,EH ,,EH ,CBOT
CBOT Standard Options on Denatured Fuel Ethanol Futures ,CME Globex,EH ,,EH ,CBOT
CBOT Denatured Fuel Ethanol Forward Month Swaps ,OTC: Cleared Only ,  ,  ,71,CBOT
Certified Emission Reduction (CER) Futures ,"CME Globex, CME ClearPort ",  ,VA ,VA ,NYMEX
European Union Allowance (EUA) Futures ,"CME Globex, CME ClearPort ",  ,RC ,RC ,NYMEX
CenterPoint Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,II ,II ,NYMEX
CenterPoint Natural Gas Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,PW ,PW ,NYMEX
CenterPoint Natural Gas Swing Swap (Platts Gas Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VX ,VX ,NYMEX
Central Appalachian Coal Futures ,"CME Globex, CME ClearPort ",  ,QL ,QL ,NYMEX
Central Appalachian Coal Option on Calendar Futures Strip ,"CME Globex, CME ClearPort ",  ,6M ,6M ,NYMEX
Central Appalachian Coal Option on Quarterly Futures Strip Options ,"CME ClearPort, Open Outcry (New York) ",  ,6K ,6K ,NYMEX
Central Appalachian Coal Option ,"CME Globex, CME ClearPort ",  ,C1 ,C1 ,NYMEX
"Chicago ""Pipe"" (Platts IFERC) Option ","CME ClearPort, Open Outcry (New York) ",  ,PY ,PY ,NYMEX
Chicago Ethanol (Platts) Swap Futures ,CME ClearPort ,  ,CU ,CU ,NYMEX
Chicago Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,NB ,NB ,NYMEX
Chicago Natural Gas Index (Platts Gas Daily/IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,IS ,IS ,NYMEX
Chicago Natural Gas Swing (Platts Gas Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,SS ,SS ,NYMEX
Chicago Unleaded Gasoline (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2C ,2C ,NYMEX
Chicago Unleaded Gasoline (Platts) vs. RBOB Gasoline Spread Swap ,"CME ClearPort, Open Outcry (New York) ",  ,3C ,3C ,NYMEX
Chicago ULSD (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,4C ,4C ,NYMEX
Chicago ULSD (Platts) vs. Heating Oil Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,5C ,5C ,NYMEX
CIG Rockies Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,Z8 ,Z8 ,NYMEX
CIG Rockies Natural Gas Swing Swap (Platts Gas Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,U8 ,U8 ,NYMEX
Midwest ISO Cinergy Hub Calendar-Day Peak LMP Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CC ,CC ,NYMEX
Midwest ISO Cinergy Hub Peak Calendar-Month LMP Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,EM ,EM ,NYMEX
Midwest ISO Cinergy Hub Peak Option on Calendar Futures Strip Options ,"CME ClearPort, Open Outcry (New York) ",  ,OEM ,OEM ,NYMEX
Midwest ISO Cinergy Hub Peak Calendar-Month LMP Swap Option ,"CME ClearPort, Open Outcry (New York) ",  ,OY ,OY ,NYMEX
Midwest ISO Cinergy Hub 5 MW Off-Peak Calendar Month Real-Time Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,H4 ,H4 ,NYMEX
Midwest ISO Cinergy Hub 5 MW Peak Calendar-Month Day-Ahead Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,H5 ,H5 ,NYMEX
Midwest ISO Cinergy Hub 5 MW Peak Calendar-Month Real-Time Swap Futures ,"CME Globex, CME ClearPort, Open Outcry (New York) ",H3N ,H3 ,H3 ,NYMEX
Midwest ISO Cinergy Hub Off-Peak LMP Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,EJ ,EJ ,NYMEX
Cleared OTC London Gold Forwards ,CME ClearPort ,  ,GB ,GB ,NYMEX
CIG Rockies Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CI ,CI ,NYMEX
Columbia Gas TCO Basis (Platts IFERC) Option ,"CME Group ClearPort, Open Outcry (New York) ",  ,5D ,5D ,NYMEX
Columbia Gas TCO Basis Swap (Platts IFERC) Futures ,"CME Globex, CME ClearPort ",  ,TC ,TC ,NYMEX
"Columbia Gulf, Louisiana Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ","CME Globex, CME ClearPort ",  ,S9 ,S9 ,NYMEX
Columbia Gulf Louisiana Basis Swap (Platts IFERC) Futures ,"CME ClearPort, CME Globex ",  ,GL ,GL ,NYMEX
"Columbia Gulf, Louisiana Natural Gas Swing Swap (Platts Gas Daily) Futures ","CME ClearPort, Open Outcry (New York) ",  ,J6 ,J6 ,NYMEX
Columbia Gulf Mainline Natural Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,5Z ,5Z ,NYMEX
"Columbia Gulf, Mainline Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ","CME ClearPort, Open Outcry (New York) ",  ,L2 ,L2 ,NYMEX
"Columbia Gulf, Mainline Natural Gas Swing Swap (Platts Gas Daily) Futures ","CME ClearPort, Open Outcry (New York) ",  ,X2 ,X2 ,NYMEX
Copper Futures ,"CME Globex, CME ClearPort, Open Outcry (New York) ",  ,HG ,HG ,NYMEX
Copper Option ,"CME Globex, CME ClearPort, Open Outcry (New York) ",  ,HX ,HX ,NYMEX
Conway Normal Butane (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,8M ,8M ,NYMEX
Conway Natural Gasoline (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,8L ,8L ,NYMEX
Conway Propane (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,8K ,8K ,NYMEX
Conway Propane (OPIS) Average Price Option ,"CME ClearPort, Open Outcry (New York) ",  ,CPR ,CPR ,NYMEX
Conway Natural Gasoline (OPIS) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CGB ,CGB ,NYMEX
Conway Normal Butane (OPIS) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CBB ,CBB ,NYMEX
Conway Propane (OPIS) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CPB ,CPB ,NYMEX
Conway Physical Propane In-Well (OPIS) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CPP ,CPP ,NYMEX
Crude Oil Financial Futures ,"CME ClearPort Clearing, New York Trading Floor ",  ,WS ,WS ,NYMEX
Crude Oil Option on Quarterly Futures Strip ,"CME ClearPort Clearing, New York Trading Floor ",  ,6E ,6E ,NYMEX
Crude Oil Option on Calendar Futures Strip ,"CME ClearPort Clearing, New York Trading Floor ",  ,6F ,6F ,NYMEX
Crude Oil Last Day Financial Futures ,"CME ClearPort, Open Outcry (New York) ",  ,26,26,NYMEX
Daily Mont Belvieu LDH Propane (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,C3D ,C3D ,NYMEX
Daily Mont Belvieu Natural Gasoline (Non-LDH) (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,C5D ,C5D ,NYMEX
Daily Mont Belvieu Normal Butane (Non-LDH) (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,C4D ,C4D ,NYMEX
