PRODUCT_ID;PRODUCT_TYPE;PRODUCT_NAME;PRODUCT_GROUP;CURRENCY;PRODUCT_ISIN;UNDERLYING_ISIN;SHARE_ISIN;CONTRACT_SIZE;CONTRACT_MONTHS;MIN_PRICE_CHANGE;COUNTRY_CODE;GROUP_ID;CASH_MARKET_ID;SECTOR;STOXX® Europe 600;EURO STOXX 50®;STOXX Europe 50®;DAX®;SMI®;MDAX®;SDAX®;TecDAX®;SMIM®;STOXX® 200 Large;STOXX® 200 Mid;STOXX® 200 Small;DJ Global Titans 50 (SM);AEX Index®;CAC 40®;SP 500;RDXxt® USD - RDX Extended;FTSE® 100;ATX
BDSG;FSTK;Banco de Sabadell;Single Stock Futures;EUR;DE000A0ME6V8;ES0113860A34;;100;36;.0001;ES;ES01;XMAD;Banks;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BDTF;FSTK;Bertrandt;Single Stock Futures;EUR;DE000A0YK6L7;DE0005232805;;100;36;.0001;DE;DE01;XETR;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
BDVG;FSTK;Banco de Valencia;Single Stock Futures;EUR;DE000A0X7YY2;ES0113980F34;;100;36;.0001;ES;ES01;XMAD;Banks;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BDXF;FSTK;Becton, Dickinson & Co.;Single Stock Futures;USD;DE000A0YKQ46;US0758871091;;100;36;.0001;US;US01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BEI;OSTK;Beiersdorf;Equity Options;EUR;DE0005200000;DE0005200000;;100;60;.01;DE;DE11;XETR;Personal & Household Goods;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BEIG;FSTK;Beiersdorf;Single Stock Futures;EUR;DE000A0ZW3X4;DE0005200000;;100;36;.0001;DE;DE01;XETR;Personal & Household Goods;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BGCG;FSTK;Bank of Greece;Single Stock Futures;EUR;DE000A1KDYY9;GRS004013009;;100;36;.0001;GR;GR01;XATH;Banks;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BGFF;FSTK;BG Group;Single Stock Futures;GBP;DE000A0SYAQ6;GB0008762899;;1000;36;.0001;GB;GB01;XLON;Oil & Gas;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
BGG;OSTK;BG Group;Equity Options;GBP;GB0008762899;GB0008762899;;1000;24;.5;GB;GB11;XLON;Oil & Gas;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
BGPA;OSTK;BAM Groep;Equity Options;EUR;NL0000337319;NL0000337319;;100;60;.01;NL;NL11;XAMS;Construction & Materials;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
BGPG;FSTK;BAM Groep;Single Stock Futures;EUR;DE000A1DKRC9;NL0000337319;;100;36;.0001;NL;NL01;XAMS;Construction & Materials;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
BHIF;FSTK;Baker Hughes;Single Stock Futures;USD;DE000A0YKRS3;US0572241075;;100;36;.0001;US;US01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BHWF;FSTK;Bank Handlowy w Warszawie;Single Stock Futures;EUR;DE000A1KQNB2;PLBH00000012;;100;36;.0001;PL;PL01;XWAR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BIF;OSTK;Société BIC;Equity Options;EUR;FR0000120966;FR0000120966;;100;24;.01;FR;FR12;XPAR;Personal & Household Goods;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BIFG;FSTK;Société BIC;Single Stock Futures;EUR;DE000A1DKNW6;FR0000120966;;100;36;.0001;FR;FR01;XPAR;Personal & Household Goods;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BIHF;FSTK;Balfour Beatty;Single Stock Futures;GBP;DE000A1CQ430;GB0000961622;;1000;36;.0001;GB;GB01;XLON;Construction & Materials;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BIIF;FSTK;Biogen Idec;Single Stock Futures;USD;DE000A0YKRD5;US09062X1037;;100;36;.0001;US;US02;XNAS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BIO;OSTK;BB Biotech;Equity Options;CHF;CH0038389992;CH0038389992;;100;24;.01;CH;CH12;XSWX;Health Care;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
BIOG;FSTK;BB Biotech;Single Stock Futures;CHF;DE000A1KDX66;CH0038389992;;100;36;.0001;CH;CH01;XSWX;Health Care;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
BIR;OSTK;Bank of Ireland;Equity Options;EUR;IE0030606259;IE0030606259;;1000;24;.001;IE;IE11;XDUB;Banks;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BIRF;FSTK;Bank of Ireland;Single Stock Futures;EUR;DE000A0JY373;IE0030606259;;100;36;.0001;IE;IE01;XDUB;Banks;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BIXF;FSTK;Viohalco;Single Stock Futures;EUR;DE000A0XW4Z9;GRS085101004;;100;36;.0001;GR;GR01;XATH;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BKFF;FSTK;Bank of New York Mellon;Single Stock Futures;USD;DE000A0SYET2;US0640581007;;100;36;.0001;US;US01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BKPF;FSTK;Bank of Piraeus;Single Stock Futures;EUR;DE000A0JJSQ8;GRS014013007;;100;36;.0001;GR;GR01;XATH;Banks;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BKWN;OSTK;BKW FMB Energie;Equity Options;CHF;CH0021607004;CH0021607004;;100;24;.01;CH;CH12;XSWX;Utilities;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BLNF;FSTK;British Land;Single Stock Futures;GBP;DE000A0SYBJ9;GB0001367019;;1000;36;.0001;GB;GB01;XLON;Real Estate;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
